top - 12:33:32 up 31 min,  1 user,  load average: 0.41, 0.88, 0.73
Tasks: 335 total,   2 running, 333 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us,  1.5 sy,  0.0 ni, 95.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15626.4 total,   8525.5 free,   3661.4 used,   4224.4 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  11965.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3636 muhamma+  20   0  236652   7308   6664 S   0.0   0.0   0:00.00 ibus-me+
   3644 muhamma+  20   0  347940  32000  18396 S   0.0   0.2   0:04.52 ibus-ex+
   3663 muhamma+  20   0  416244  15204  13176 S   0.0   0.1   0:00.02 gsd-pri+
   3664 muhamma+  20   0  267176  24716  17848 S   0.0   0.2   0:00.21 ibus-x11
   3670 muhamma+  20   0  310432   7336   6696 S   0.0   0.0   0:00.02 ibus-po+
   3685 muhamma+  20   0  389388   8208   7116 S   0.0   0.1   0:00.13 gvfs-af+
   3733 muhamma+  20   0  825496  29792  25704 S   0.0   0.2   0:00.07 evoluti+
   3735 muhamma+  20   0  309780   6556   5928 S   0.0   0.0   0:00.01 gvfs-go+
   3752 muhamma+  20   0  309800   6796   6108 S   0.0   0.0   0:00.01 gvfs-mt+
   3764 muhamma+  20   0  310768   7140   6328 S   0.0   0.0   0:00.02 gvfs-gp+
   3770 muhamma+  20   0  701692  15344  12220 S   0.0   0.1   0:00.22 xdg-des+
   3789 muhamma+  20   0  536568   7636   6868 S   0.0   0.0   0:00.03 xdg-doc+
   3799 root      20   0    2712   2052   1928 S   0.0   0.0   0:00.00 fusermo+
   3805 muhamma+  20   0 2793752  27248  21836 S   0.0   0.2   0:00.08 gjs
   3821 muhamma+  39  19  904352  53040  20728 S   0.0   0.3   0:10.45 tracker+
   3822 muhamma+  20   0 1507928 124336  96696 S   0.0   0.8   0:00.97 xdg-des+
   3829 muhamma+  20   0  236776   7616   6816 S   0.0   0.0   0:02.97 ibus-en+
   3878 muhamma+  20   0  609448   9284   7796 S   0.0   0.1   0:00.06 gvfsd-t+
   3897 muhamma+  20   0  415768  26560  19764 S   0.0   0.2   0:00.25 xdg-des+
   3914 muhamma+  20   0 3206488  59768  43748 S   0.0   0.4   0:01.16 gjs
   3968 muhamma+  20   0  237324   7760   6216 S   0.0   0.0   0:00.07 gvfsd-m+
   4008 root      20   0  482332  44444  37180 S   0.0   0.3   0:00.68 fwupd
   4711 muhamma+  20   0    8436   1884   1780 S   0.0   0.0   0:00.00 cat
   4712 muhamma+  20   0    8436   1892   1784 S   0.0   0.0   0:00.00 cat
   4714 muhamma+  20   0   48.0g   3928   3564 S   0.0   0.0   0:00.00 chrome_+
   4716 muhamma+  20   0   48.0g   3448   3120 S   0.0   0.0   0:00.00 chrome_+
   4722 muhamma+  20   0   48.6g  62304  47808 S   0.0   0.4   0:00.02 chrome
   4723 muhamma+  20   0   48.6g  62000  47592 S   0.0   0.4   0:00.02 chrome
   4725 muhamma+  20   0   48.6g  18484   3972 S   0.0   0.1   0:00.29 chrome
   4752 muhamma+  20   0   48.4g 142404 105364 S   0.0   0.9   0:18.58 chrome
   4765 muhamma+  20   0   48.7g  57824  40532 S   0.0   0.4   0:00.52 chrome
   4980 muhamma+  20   0 1392.4g 279700 143212 S   0.0   1.7   0:38.59 chrome
   4993 muhamma+  20   0 1392.5g 369828 161432 S   0.0   2.3   1:55.73 chrome
   5004 muhamma+  20   0 1392.4g 124716  99236 S   0.0   0.8   0:01.48 chrome
   5039 muhamma+  20   0 1392.4g 122252  96188 S   0.0   0.8   0:00.63 chrome
   5054 muhamma+  20   0   48.4g  82952  67532 S   0.0   0.5   0:00.24 chrome
   5059 muhamma+  20   0 2281140 237160 129144 S   0.0   1.5   0:19.25 nautilus
   5100 muhamma+  20   0  390136  10508   7580 S   0.0   0.1   0:00.13 gvfsd-r+
   5495 muhamma+  20   0  998164 101724  59844 S   0.0   0.6   0:09.22 evince
   5641 muhamma+  20   0  230076   5860   5372 S   0.0   0.0   0:00.00 evinced
   6268 muhamma+  20   0  566724  32052  24664 S   0.0   0.2   0:00.28 update-+
  12435 root      20   0       0      0      0 I   0.0   0.0   0:04.92 kworker+
  12797 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  13097 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  13281 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  13365 muhamma+  20   0  847844  59576  43032 S   0.0   0.4   0:14.32 gnome-t+
  13376 muhamma+  20   0   15748  10160   3964 S   0.0   0.1   0:00.12 bash
  13618 muhamma+  20   0   15232   9604   3936 S   0.0   0.1   0:00.06 bash
  13856 muhamma+  20   0   15232   9588   3920 S   0.0   0.1   0:00.06 bash
